Title,Duration (seconds),Views,Likes,Comments,Shares,Saves,Total watch time (minutes),Average watch time per play (seconds)
How I transformed my morning routine in 7 days,28,4250,187,23,41,89,850,12
Stop doing this one thing if you want more saves,22,1820,64,8,19,34,290,9.5
Why most people quit before they see results,35,6100,312,47,88,142,1830,18
My honest review after 30 days of daily posting,18,920,38,5,7,12,138,9
The secret nobody talks about when starting out,25,3400,145,19,36,78,680,12
Before and after â€” the difference one year makes,30,2100,93,14,22,45,525,15
Did you know this simple trick doubles your reach,20,5800,241,31,67,115,1044,10.8
What if you posted every day for a week,15,780,29,3,4,8,97,7.5
Most people get this completely wrong,32,4900,198,28,54,107,1274,15.6
How to stop overthinking and just start,26,2650,119,16,28,61,530,12
